3	-1.25415480607	1.28044925071
4	-3.76175548061	1.60254129042
5	-6.13191517707	1.89986549184
6	-8.54316509275	2.1434933007
7	-10.9075008432	2.35673447236
8	-13.2826836425	2.56841126666
9	-15.6503546374	2.74525425878
10	-18.0271401349	2.94088353372
11	-20.3738284992	3.09512566127
12	-22.7640202361	3.2555731898
13	-25.1485910624	3.40132237392
14	-27.506955312	3.56104215564
15	-29.8899517707	3.68384324511
16	-32.261043339	3.83270225515
17	-34.6284996627	3.94600388139
18	-37.0062478921	4.08296484934
